Data Report Date: 2018-01-01							
Report Analyst: John Sand							
							
order_id	quantity	unit_price	order_date	status	product_type	country	deal_size
10107	30	95.7	24.02.03	Shipped	Motorcycles	USA	Small
10121	34	81.35	07.05.03	Shipped	Motorcycles	France	Small
10134	41	94.74	01.07.03	Shipped	Motorcycles	France	Medium
10145	45	83.26	25.08.03	Shipped	Motorcycles	USA	Medium
10159	49	100	10.10.03	Shipped	Motorcycles	USA	Medium
10168	36	96.66	28.10.03	Shipped	Motorcycles	USA	Medium
10180	29	86.13	11.11.03	Shipped	Motorcycles	France	Small
10188	48	100	18.11.03	Shipped	Motorcycles	Norway	Medium
10201	22	98.57	01.12.03	Shipped	Motorcycles	USA	Small
10211	41	100	15.01.04	Shipped	Motorcycles	France	Medium
10223	37	100	20.02.04	Shipped	Motorcycles	Australia	Medium
10237	23	100	05.04.04	Shipped	Motorcycles	USA	Small
10251	28	100	18.05.04	Shipped	Motorcycles	USA	Medium
10263	34	100	28.06.04	Shipped	Motorcycles	USA	Medium
10275	45	92.83	23.07.04	Shipped	Motorcycles	France	Medium
10285	36	100	27.08.04	Shipped	Motorcycles	USA	Medium
10299	23	100	30.09.04	Shipped	Motorcycles	Finland	Small
10309	41	100	15.10.04	Shipped	Motorcycles	Norway	Medium
10318	46	94.74	02.11.04	Shipped	Motorcycles	USA	Medium
10329	42	100	15.11.04	Shipped	Motorcycles	USA	Medium
10341	41	100	24.11.04	Shipped	Motorcycles	Austria	Large
10361	20	72.55	17.12.04	Shipped	Motorcycles	Australia	Small
10375	21	34.91	03.02.05	Shipped	Motorcycles	France	Small
10388	42	76.36	03.03.05	Shipped	Motorcycles	USA	Medium
10403	24	100	08.04.05	Shipped	Motorcycles	UK	Small
10417	66	100	13.05.05	Disputed	Motorcycles	Spain	Large
10103	26	100	29.01.03	Shipped	Classic Cars	Norway	Medium
10112	29	100	24.03.03	Shipped	Classic Cars	Sweden	Large
10126	38	100	28.05.03	Shipped	Classic Cars	Spain	Large
10140	37	100	24.07.03	Shipped	Classic Cars	USA	Large
10150	45	100	19.09.03	Shipped	Classic Cars	Singapore	Large
10163	21	100	20.10.03	Shipped	Classic Cars	USA	Medium
10174	34	100	06.11.03	Shipped	Classic Cars	Australia	Large
10183	23	100	13.11.03	Shipped	Classic Cars	USA	Medium
10194	42	100	25.11.03	Shipped	Classic Cars	France	Large
10206	47	100	05.12.03	Shipped	Classic Cars	Canada	Large
10215	35	100	29.01.04	Shipped	Classic Cars	USA	Medium
10228	29	100	10.03.04	Shipped	Classic Cars	USA	Medium
10245	34	100	04.05.04	Shipped	Classic Cars	USA	Medium
10258	32	100	15.06.04	Shipped	Classic Cars	Japan	Large
10270	21	100	19.07.04	Shipped	Classic Cars	Australia	Medium
10280	34	100	17.08.04	Shipped	Classic Cars	Italy	Large
10291	37	100	08.09.04	Shipped	Classic Cars	Sweden	Large
10304	47	100	11.10.04	Shipped	Classic Cars	France	Large
10312	48	100	21.10.04	Shipped	Classic Cars	USA	Large
10322	40	100	04.11.04	Shipped	Classic Cars	USA	Medium
10333	26	100	18.11.04	Shipped	Classic Cars	USA	Medium
10347	30	100	29.11.04	Shipped	Classic Cars	Australia	Medium
10357	32	100	10.12.04	Shipped	Classic Cars	USA	Medium
10369	41	100	20.01.05	Shipped	Classic Cars	USA	Medium
10381	36	100	17.02.05	Shipped	Classic Cars	USA	Large
10391	24	100	09.03.05	Shipped	Classic Cars	Australia	Small
10411	23	100	01.05.05	Shipped	Classic Cars	Canada	Medium
10424	50	100	31.05.05	In Process	Classic Cars	Spain	Large
10107	39	99.91	24.02.03	Shipped	Motorcycles	USA	Medium
10120	29	96.34	29.04.03	Shipped	Motorcycles	Australia	Small
10134	27	100	01.07.03	Shipped	Motorcycles	France	Medium
10145	37	100	25.08.03	Shipped	Motorcycles	USA	Medium
10159	37	100	10.10.03	Shipped	Motorcycles	USA	Medium
10168	27	100	28.10.03	Shipped	Motorcycles	USA	Medium
10180	42	100	11.11.03	Shipped	Motorcycles	France	Medium
10188	38	96.34	18.11.03	Shipped	Motorcycles	Norway	Medium
10201	24	100	01.12.03	Shipped	Motorcycles	USA	Medium
10210	23	100	12.01.04	Shipped	Motorcycles	Japan	Medium
10223	47	100	20.02.04	Shipped	Motorcycles	Australia	Medium
10236	22	100	03.04.04	Shipped	Motorcycles	USA	Small
10251	44	100	18.05.04	Shipped	Motorcycles	USA	Medium
10263	40	100	28.06.04	Shipped	Motorcycles	USA	Medium
10275	22	100	23.07.04	Shipped	Motorcycles	France	Small
10285	47	100	27.08.04	Shipped	Motorcycles	USA	Medium
10298	39	96.34	27.09.04	Shipped	Motorcycles	France	Medium
10308	34	100	15.10.04	Shipped	Motorcycles	USA	Medium
10318	45	100	02.11.04	Shipped	Motorcycles	USA	Medium
10329	20	100	15.11.04	Shipped	Motorcycles	USA	Medium
10339	40	68.92	23.11.04	Shipped	Motorcycles	Japan	Small
10361	26	51.15	17.12.04	Shipped	Motorcycles	Australia	Small
10374	39	100	02.02.05	Shipped	Motorcycles	Australia	Medium
10388	50	44.51	03.03.05	Shipped	Motorcycles	USA	Small
10402	45	100	07.04.05	Shipped	Motorcycles	France	Medium
10417	45	100	13.05.05	Disputed	Motorcycles	Spain	Medium
10107	27	100	24.02.03	Shipped	Motorcycles	USA	Medium
10120	46	100	29.04.03	Shipped	Motorcycles	Australia	Large
10134	31	100	01.07.03	Shipped	Motorcycles	France	Large
10145	33	100	25.08.03	Shipped	Motorcycles	USA	Medium
10159	22	100	10.10.03	Shipped	Motorcycles	USA	Medium
10168	20	100	28.10.03	Shipped	Motorcycles	USA	Medium
10180	41	100	11.11.03	Shipped	Motorcycles	France	Large
10188	45	100	18.11.03	Shipped	Motorcycles	Norway	Large
10201	49	100	01.12.03	Shipped	Motorcycles	USA	Large
10210	34	100	12.01.04	Shipped	Motorcycles	Japan	Medium
10223	49	100	20.02.04	Shipped	Motorcycles	Australia	Large
10237	39	100	05.04.04	Shipped	Motorcycles	USA	Large
10251	43	100	18.05.04	Shipped	Motorcycles	USA	Large
10263	41	100	28.06.04	Shipped	Motorcycles	USA	Large
10275	36	100	23.07.04	Shipped	Motorcycles	France	Medium
10285	27	100	27.08.04	Shipped	Motorcycles	USA	Medium
